	mbe2_naive	mbe3_naive	mbe2_semi	mbe3_semi	mbe2_non	mbe3_non	mbe2_qfrags	mbe3_qfrags
1azg_1	65.32882676	-2.346400186	70.04001803	-3.071742793	45.05367659	-5.816318956	49.56885441	-3.66105727
1d7j_3	46.05111575	-2.523465849	67.78417896	-5.21067765	70.74823463	-5.683054852	27.16795152	0.073098147
1fkh_3	73.47963486	-5.946963942	65.0760043	-4.178986269	75.09046213	-6.393326589	35.33605427	-1.296694935
1hi4_7	10.99407019	-4.535861901	39.13912395	0.67258799	28.54772386	-1.23079079	81.66341744	-11.87702035
1i5h_1	19.43521492	-1.090056638	-3.113716871	-0.031537478	-0.164470637	-9.896830047	13.31489824	-1.569448942
1l2z_1	68.18143288	-5.051835949	48.17637349	-1.356293681	65.75537025	-5.07828366	44.47886325	-4.410120428
1prm_1	16.89328521	-2.097845156	80.31339445	-0.94812786	87.89945744	-5.606115497	28.67934133	-0.205427101
2ltx_2	9.787074619	0.550247433	10.11268592	0.12961663	-32.71238721	94.14912116	7.057615713	0.392861732
2w85_3	27.94113559	-1.049108737	27.94113559	-1.049108737	30.96494449	-1.131329866	30.98269217	-1.125622975
3ikd_2	0.446785271	0.760234921	0.446785271	0.760234973	-5.640563263	-0.54835403	-0.394391373	-0.081387089
3qo2_3	-97.94237396	-11.05068397	-113.8412441	-4.995163403	-130.0526285	-9.868719814	-79.19500318	8.815572353
4ogj_8	-59.98913806	3.720018413	-36.53211078	0.735177887	-35.57749575	4.096549663	-8.98093918	18.79607013
5d24_6	-88.86514334	-4.486501662	-77.50988367	0.102657311	-87.54050901	-4.828814615	-101.2215815	1.825286982
5fe6_6	1.660899205	-0.069747983	0.647297099	-0.28358041	1.882565889	-0.410920391	3.573158315	-0.036578203
5fe6_7	-17.51459587	-1.606801907	-15.06276464	-1.461949343	-28.1107912	6.546379586	3.763957887	16.26633067
5i7x_6	-59.56440719	13.62598006	-65.85929589	10.03800492	-59.67989527	6.688961277	-36.55027293	19.62461986
5ji8_5	-95.15485572	-8.238163933	-122.8690196	-1.182064948	-106.293043	-9.501586041	-78.44065439	-0.0209423
5nlk_4	-11.36780331	-4.995286594	-45.44051396	13.53852287	-67.08128112	6.328490888	-50.77169751	6.730047986
6dl2_7	-141.7380251	2.746674334	-81.24989515	14.0208138	-92.82603163	11.62389096	-47.83014003	11.21705004
6fgg_5	-114.1214652	-2.608234582	-93.78274561	-0.855113931	-118.6366905	-1.925830796	-107.3600456	1.367905873
